word,gender,age,tier
欧美风,M,16,T1
七分袖,M,28,T2
堆堆领,M,27,T3
呢大衣,M,36,T1
违带裤,M,38,T2
橄榄领,M,34,T3
衬衫,M,22,T1
韩版,M,26,T2
工装靴裤,M,29,T3
字母,M,26,T1
披肩,M,18,T2
羊绒衫,M,15,T3
毛织开衫,M,20,T1
连衣裤,M,24,T2
风衣款,M,16,T3
卫衣长款,M,32,T1
兔绒皮草,M,56,T2
违带裤,M,35,T3
豹纹皮草马甲,M,23,T1
短款,M,43,T2
打底裤,M,22,T3
日式,M,23,T1
套头,M,21,T2
做旧,M,16,T3
打底系列,M,22,T1
宫庭,M,25,T2
斗篷款,M,28,T3
白皱裙套装,M,34,T1
长款,M,37,T2
通例袖,M,43,T3
裤子休闲裤,M,38,T1
收腰鱼尾,M,50,T2
毛呢冬裙长裙,M,21,T3
立领款,M,30,T1
狐狸毛,M,26,T2
长袖,M,29,T3
卡通,M,26,T1
柳钉裙,M,18,T2
大嘴猴,M,15,T3
呢大衣,M,20,T1
毛呢靴裤,M,24,T2
迷你,M,16,T3
格子,M,32,T1
带帽,M,56,T2
淑女款,M,35,T3
